,user,comment_time,votes,rating,text,sentiment,feedback
35,OCT IO≯,2011/9/3,78,4,难得的精品！世界观及架构缜密高明，原声大爱，将近十年前的作品却依旧很吸引人，人物塑造的非常棒，对每个角色都进行了深入的挖掘，片子不止于玄奥的外在，其传达的思想对于每个看过的人都很受用！用了四天把这部老番补完，已经好久没有一部作品能给我这种欲罢不能的感觉了！可惜TV烂尾，原著也是坑,1,1
37,方轮自行车,2011/5/18,33,5,不论是从正剧角度，还是腐的角度都正中啊。很多人质疑“这不就是个女版金手指吗”，可是这恰恰是反金手指啊——女主从头到尾都不想要这样的命运，所谓的金手指对她来说就是人在家中坐、祸从天上来；最后她咬着牙去主动迎接自己的命运，也绝不是拾起金手指，她还是那个一无是处的人，只是多了点勇气罢了,1,1
39,貝塔,2012/3/19,14,5,每篇故事结束之后必定有整整一话作为回顾，这点有点恼人啊！.......更令人郁闷的是，这动画特么是坑……是坑……我……泰麒的故事怎么说了一半半就不讲了，糊我吗……行，有空补补小说！,1,1
41,银谷。,2012/6/18,0,3,配音太烂了。。完全毁感觉。。,0,0
45,SundanceKid🌈,2020/4/1,7,4,最后他推开了一扇门，她也会走进来。际遇总是奇妙，但每一段都这样浪漫和注定该多好。夜夜夜夜他们相隔几步的距离，丢了、获得的猫咪，来来往往的商店，同一首歌曲前后响起，自己磨砺、抚平抑郁，相见的时候都是接纳爱、自信的模样了,1,1
46,华盛顿樱桃树,2020/4/2,6,3,你们的温情浪漫治愈，在我这就是清汤寡水。是什么时候开始不接受这份美好的寡淡，是一个让人难过又痛苦的问题。男主很适合这类片子，毛茸茸光亮亮的暖暖的。,1,0
50,夏末阳光,2016/12/25,43,2,不想说什么，太烂了,0,-1
51,mingjoyce,2016/12/25,34,2,看過《仙劍奇俠傳三》之後，對唐嫣演的紫萱是喜歡的，但是在《夏家三千金》之後的幾部劇，走的都是傻白甜路線，感覺唐嫣的接這部劇真的很有問題。,0,-1
52,梦梦梦梦,2017/4/11,29,4,当时感觉唐嫣邱泽很配，演员演技都不错，记得这个电视剧分几步曲来着，有点长，但是挺有意思的。戚薇演的真是又可怜又可恨，厉害。,1,1
54,壳子,2017/4/25,10,3,小时候夏家三千金和这个都看了 看见陈楚河就想换台 看见徐正曦就感慨为啥没人要😂,1,0
55,皮革业,2013/6/9,50,4,渡边信一郎似乎不太适合这种长片，节奏显得拖沓。片头打劫那场模仿《低俗小说》，最后从厕所里出来的那个带贝雷帽的毛贼，明显就是昆汀本人嘛。,0,1
56,SydneyCarton,2012/10/15,29,4,剧场版也不是不如tv版，只是相当于把tv版里的一集拉长，所以显得太装太拖沓，二十分钟你可以忍甚至欣赏，114分钟有些地方就让人煎熬了。调调还在。,0,1
62,不是假发是桂姬,2012/8/16,1,5,对我来说，织很可爱。果然有画面的话，对于我来说比文字感触更深。“没有根据，不过我一如既往的相信式，因为我喜欢你，所以才想一直相信你。”只是一个关于爱的故事。,1,1
63,Nothing To,2011/10/25,2,5,画质精良啊！开篇的风景像是照片！,1,1
65,Clyde,2015/9/4,17,4,2015经典重看之一。威廉·弗莱德金不是电影大师，但他是一个驾驭能力非常不错的导演，能够因类型而自我调整，《法国贩毒网》这样的写实警匪片，他能够拍出硬朗的风格，《驱魔人》那样的恐怖片，他也能够拍出诡异恐怖的氛围。,1,1
67,法式曌影,2019/2/3,3,5,【A】非常惊喜！虽然本质上就是50年之后现在已经烂大街的“警察抓小偷”，但这部绝对是警匪片里难以逾越的巅峰。太前卫的视听手法，即使50年后的现在也非常惊艳。果然是从此影响影史的教科书，跟踪戏不输《谍影重重3》，那场追车戏完全算得上我看过的史上最佳之一。甚至还套了个万万没想到的结尾，一声枪响，戛然而止。虽然50年前影像的质感大打折扣，但影像本身的魅力，只增不减啊。,1,1
68,圣迭戈-北岛,2016/5/10,5,5,划时代的神作，各种富有开创性的设计被沿用至今，对于后来的好莱坞警匪动作电影的影响相当深远。有趣的是影片拍摄中以摄影师乘坐轮椅来替代专业滑轨设备，这和保罗·格林格拉斯笑称自己作品的手持风格源于当年没钱买三脚架如出一辙，粗狂凌厉的写实真是让人欲罢不能。,1,1
69,润物,2015/9/14,6,3,当年的奥斯卡最佳影片，现在看来貌似没有什么特别之处，但这放在那个时代中，是有着其自身价值的。片子拍摄的很多场景设计都成为了经典，影响着后面电影的拍摄，比如警匪斗智、飙车追逐等，当然根据真人真事改编也是魅力所在，电影在毒品泛滥问题棘手的特殊时代出现，能得奖确实有着与纯艺术无关的成分,1,0
70,小王子,2019/12/11,3,4,看的普通话版，在念到地球抹平了所有人类遗迹的时候，旁白明显语气高昂了，有掩藏不住的欣喜。,1,1
71,冉笛,2014/2/14,3,3,只需要300年时间，现代文明所建造的一切便灰飞烟灭，1万年后，唯一能找到人类存在的证据也许只有埃及金字塔中国长城,1,0
73,叛卡门,2020/4/16,0,4,有关世界存亡的思考最终都会回归到哲学的高度和宗教的宣传上，尘归尘土归土，人类的存在不论以体积亦或时间仅仅对于已经活了四十五亿年的地球来说都是渺小如尘，甚至更不如。你不知道你脚下的这粒尘沙是否被邮差般的旋风从另一个国家甚至星球度洋而来、又或者它们已经不动声色的看过了你祖父、曾祖父的诞生，你甚至不知道自己正在默默的被注视着，它打了个哈欠的功夫，你就已经四世同堂。这便是生命的残酷之美，人类在自认为经受了...有关世界存亡的思考最终都会回归到哲学的高度和宗教的宣传上，尘归尘土归土，人类的存在不论以体积亦或时间仅仅对于已经活了四十五亿年的地球来说都是渺小如尘，甚至更不如。你不知道你脚下的这粒尘沙是否被邮差般的旋风从另一个国家甚至星球度洋而来、又或者它们已经不动声色的看过了你祖父、曾祖父的诞生，你甚至不知道自己正在默默的被注视着，它打了个哈欠的功夫，你就已经四世同堂。这便是生命的残酷之美，人类在自认为经受了岁月的风霜文明的洗礼后屹立不倒，可实际上那只属于先人的辉煌被后代人咀嚼、回味，甚至不如一粒沙长久、特别。很具讽刺意味的是，这就是所谓的先进技术，我们现在仍未能找到一种比石刻更经久保存信息的方式。人类之前有生命，人类之后依然有生命,1,1
74,国王KING,2015/8/9,0,4,纪录片一开始提出了一个头脑风暴，“假如在某一刻人类消失，地球会变成怎样？”200年时光弹指一挥间，人类的历史，在时间的长河中只是短短的一瞬。我们用一万年的时间砍伐了世界一半的树木，但自然只用500年就把他们长回来了。听说《美国末日》自此取材，太棒了，断裂的铁塔下动物觅食的镜头历历在目。,1,1
76,巽,2010/11/21,132,5,当TBBT和挨踢同时进行到第三季时，英剧的各种长处圆满的展现了出来：短小精悍，持久给力。腐国编剧也不会让主角没事把“爱比恨大”这种直的言论挂在嘴边。但是要我说来，挨踢中三人行的关系要比TBBT的五人组可爱，有趣，且动人得多。,1,1
81,小琪儿乐,2012/3/3,39,5,despicable me的创作者，和满场的孩子一起在笑声中度过，故事简单有趣却丰富深刻，老少咸宜，笑过之后引人思考。不得不说这些成本不高的3D动画电影，比国内那些动辄过亿，特技牛B却空无内容的“创作”强多了，不就是打来打去吗，也没见把中华文化发扬光大，别再浪费钱了，多学学人家“儿童电影”吧。,1,1
82,LORENZO 洛伦佐,2012/4/6,35,4,三星半！最有爱的环保动画片！那些动物都是出来刻意卖萌的对吧？！熊啊鱼啊鸭啊都可爱死了！几首主题曲都非常好听！简直是歌舞片！虽然情节一般，比较低幼，但是很治愈！结尾也很感人，3D也不坑爹，推一个！,1,1
84,[已注销],2012/8/12,1,5,始终觉得3D就是不戴眼镜看不清，非得戴眼镜才看得清的一种lifestyle的新式fashion。故事挺简单的，有一幕我被震撼了。那就是他唱歌，掩盖自己的罪行：捐款慈善都搞上了，所以他砍伐树木是善良的，一切都是合法的。我身为商业人士，非常了解这一点。,1,1
87,Archipiélago,2013/2/12,0,3,STAR TREK第10部，或許由於這愁人的特效，一科幻片兒還是讓我覺得扯淡....湯老濕作為唯一靠譜兒存在於整部電影...經歷了船長的兩次死亡，DATA也不足煽情了，還是有些.....憂傷...................,0,0
92,塞巴斯蒂安叔,2018/7/13,1,4,构架还不错，有着典型的那种好莱坞想讲点儿什么又讲不到点子上没法儿很深刻的效果。同情你。而且那个黑色雕塑家什么鬼，娃你睡的下去嘴也算了，还当回事儿也是无语。还不如那个骑单车卖药丸儿的拉美看着有个人样。,1,1
93,schwartz_man,2016/7/1,0,1,又安排了一出小说家找灵感的戏码，跟《迷宫》相似，一晚上，4个人的偶遇和交流。肉欲滋养着灵感，精神交流超脱肉体的渴望，打完炮，各自回家，各自找自己的出路。11分钟就穿帮··,1,-1
97,小菠萝,2019/10/14,28,5,突然想起这部你主演的电视剧我还没评分过，还是2013那年高考结束在家里的电脑上补完的。夏天很热，西瓜很好吃，毕业季人来人往，很多信息扑面而来，还有你笑起来很美的脸庞。在天堂要开心啊，谢谢你路过人间。,1,1
98,Queenie清,2012/9/14,18,3,翻拍翻拍又翻成本国韩剧了,0,0
99,元宝宝,2017/4/24,14,3,韩版的（崔雪莉）在颜值上确实比台版的（ELLA）要强些，就酱紫啦。,0,0
102,浮生偷得半日闲,2019/12/19,12,3,哎哟，这个剧真的是把我气笑了，整个剧的核心就是“打死不报警，就不在电话里说，我能抓到凶手”，关键时刻手机就是摆设，怪不得每周就更四集，就是要用这种时间间隔迷惑你找不到逻辑，联系不起剧情。然后要吐槽一下那个什么杜警官，之前是他跟连舟说因为连周提供的线索他们天天忙啊女朋友都没时间找，我*，你一个警察也不能这样说吧，这后面还怪别人不报警的呢,0,0
103,飞奔的胖墩_潮,2019/11/23,20,4,看了6集  很好看 剧情紧凑不拖拉  演技也到位,1,1
106,掉线,2012/11/20,37,3,关于黑客帝国系列世界观的补完，有点cult味道，其实分拆来看每个故事都挺普通的，个人觉得最好的是“虚拟程序”和“超越极限”。豆瓣分数比黑客第一部还高，粉丝向太严重。,1,0
107,青松挂明月,2019/2/25,7,3,如果没看电影版你可能觉得挺牛逼的，看了电影版就觉得动画有点平庸了，大部分都是老生常谈的概念。美术也就那样吧，没有特别惊艳。也许作为老片子还是可圈可点的。而且我并不喜欢用人的思维去揣测人工智能。如果人工智能的思维和人一样，那它除了运算速度快也没什么特别，这点子就毁了。就比如最后那个故事，难道机器人喜欢那个漂亮的女人吗？为什么机器人喜爱的女人和人类喜爱的女人一样?我要是机器人我可能觉得iPhone长得...如果没看电影版你可能觉得挺牛逼的，看了电影版就觉得动画有点平庸了，大部分都是老生常谈的概念。美术也就那样吧，没有特别惊艳。也许作为老片子还是可圈可点的。而且我并不喜欢用人的思维去揣测人工智能。如果人工智能的思维和人一样，那它除了运算速度快也没什么特别，这点子就毁了。就比如最后那个故事，难道机器人喜欢那个漂亮的女人吗？为什么机器人喜爱的女人和人类喜爱的女人一样?我要是机器人我可能觉得iPhone长得都比人类好看。还有什么机器人想要参加联合国啥的，完全是人类思维。我不知道机器人是不是真的那么想，但我觉得很无聊，你要说是个外星人想加入联合国我觉得还说得过去。三星吧，几个故事完成度都不高，但可以看看。,1,0
108,有未始有始也者,2006/5/25,5,4,The final flight of the Osiris拖低了整体水平,0,1
110,米粒,2012/2/15,102,5,维果莫腾森那一身的纹身露出来的时候，我惊了~果真是个从头帅到脚趾头的曼哈顿硬汉！再操一口性感的俄国英语（汗）！那就跪了。。。真心喜欢这个故事以及每个演员，且不提浴室肉搏场面有多精彩,1,1
112,(๑⁼̴̀д⁼̴́๑),2017/11/15,10,4,在西蒙的授意下，尼古拉阻止安娜的调查，不想却把黑帮的罪恶隐情曝光，很快，意想不到的背叛、报复与谋杀发生了,1,1
114,半城风月,2017/11/16,8,3,揭露人性的黑暗面，但个人认为女主太懦弱了。,0,0
120,雷德,2013/7/9,93,4,基于某些精彩绝伦的硬汉片儿豆瓣都时常只有6分，何况这种无功无过的老片风格的。片名翻得特怀旧，剧情复古，四平八稳。史泰龙那句磅啪当搭配手势超喜欢，像Track them find them kill them。不论你们这些小P孩怎么吐槽老子就是这样一条孤身硬汉，爱看不看！扣一星给韩国人的脸蛋儿【。,1,1
121,Miss Sofy,2014/3/16,0,3,用亚洲人思维拍出的电影......和史叔怎么看都不搭噶！史叔真不是一个适合玩智商和幽默的主.........,1,0
123,近似无限透明的蓝色,2013/8/17,1,3,豁出去的龙哥，明白有生之年坚守自己的风格远比转型来得更为有意义：一群更年期老家伙玩男性荷尔蒙固然重要，但风靡80年代的硬汉+杀手+独行独断不肯同流合污警察的桥段也是不错的调剂品，它蕴含的情怀远超故事本身的精彩性，而那种与时代的脱节感反而更吸引眼球，最后一段肉搏战，过瘾。,1,0
124,哈酷,2013/7/13,0,3,一颗星给还能脱衣服的史泰龙，一颗星给嚣张跋扈的史莱特，一颗星给性感的纹身师沙黑~复古动作片，回到80年代，看的院线版，删减了血腥镜头，本片适合史泰龙的粉丝和对8090年代动作片着迷的人看，太年轻的朋友你看不下去，和现代动作电影根本不是一个节奏的。,1,0
125,咸鱼罐头,2019/1/5,170,5,不论这部动画的质量如何，请记住，至少从第二个千禧年算起的近几十年，有无数的日本小说或者动画作品都起源于它，或者说这是一部被“抄过”无数遍的都市奇幻类作品——《不吉波普不笑》。,1,1
127,影中世界,2019/1/6,14,4,经费不足所以在叙事结构上下功夫？据说原作第一卷的故事也是多视角叙事，不过相比较原作的每章一个视角，动画显然滥用了这个功能，有点炫技的成分，而且并不适合这种时长较短且周更的动画，对观众十分不友好，一次更新两集显然也想到了这点吧？不过从第三集开始就好多了，看着也舒服，果然前两集在炫技，你要是这样玩一次更新三集多好,1,1
128,薛定谔的毛线,2019/1/5,17,5,叙事很有意思，神秘感与结构性并存。在故事的一开始展示了大纲，再用展开后的细节去堆砌中空的发展，把故事的解释权在追番的过程中交给了观众。更别说不曾过时的时髦设定与视角，在猎奇与悬疑中时刻保持着克制。希望可以稳健地发展，那样在拼图最终完成的时候，或许会带来极通畅的观影体验。,1,1
131,Lunar C.,2019/1/16,14,4,全剧围绕“谁是女孩肚子里孩子的爸爸”这个主题展开，结局细思极恐。大眼龙表面憨直，但如果实则是大智若愚呢？看透一切，但是一门心思想娶阿英，喜当爹也是以小博大，这不是又有了五个自己的孩子？这波不亏。世界上什么人都有，包括那种责任心与市侩的完美融合。,1,1
132,千寻亿选,2011/3/2,3,2,剧情框架还可以，可是导演不是王晶也不是许鞍华，所以拍的屎一样难看。浪费了一堆新人,0,-1
133,U 兔,2009/5/24,3,4,"小时候貌似还和老姐讨论过这个片子
我先天好，我后天强，我心地善良～
哈哈～",1,1
135,梦里诗书,2016/3/3,15,4,提及最为广受欢迎的007，曾以《黄金眼》、《明日帝国》等系列电影广为称道的皮尔斯·布鲁斯南无疑当是不二人选，已年过六旬的他，在《谍影特工》中以一场另类邦德的特工再战，令人仿若再度看到了那位昔日的孤胆英雄。,1,1
136,Favillae,2016/12/9,12,4,全片分明就是别扭特工师徒较劲，俄国中情局阴谋都靠边站，谁理你们。徒弟被指使不知情情况下杀了老师旧情人，老师报复到徒弟家里去虐待人新女友，割妹子腿动脉什么的，而徒弟此时最关心的是，老师当年为什么不要他！见面几次枪战近身肉搏都上全套了，就是不杀对方。最后徒弟终于出师了。喜闻乐见HE。,1,1
137,KLEIO,2017/1/1,5,2,近身打斗太少！感情师徒爱情友情线都很糟糕.女二简直跟泽塔琼斯一模一样！为了Luke Bracey刷这部，镜头不少，帅到炸裂，他穿宽松的衬衫扣子扣一半真的好好看！我也想要这样买菜做草莓奶昔的邻居，以及帮我牵线搭桥的猫咪,1,-1
142,ChrisKirk,2018/1/12,15,4,破碎的我如何拥抱破碎的你，贾木许呈现出最蓝色的当下和最粉色的过往，亲密与疏离都是蜻蜓点水般的曾经沧海，比尔默瑞坐在墓碑旁眼里含泪的瞬间，只觉「过往云烟」四字之轻；明明是值得一辈子谈笑的回忆，却逐渐都归还给原来的所有者，孑然一身了无牵挂，只是再也回不去自然摊睡在沙发的日子了。,1,1
144,语然小语,2012/3/18,1,4,贾木许被大公司买通后的第一部彩色片，剧作满分，实际上开始卖牌子了，王家卫第二部就开始卖了，相对而言比他能闹，就是商业片~~仁者见仁吧,0,1
148,xiaoiou,2012/3/22,0,4,看过好多遍，可惜没有差婆，没有小光头，利智挺漂亮的，李元霸好像成龙，张耀扬很像我堂哥文柱啊。,1,1
150,写作者王建平,2016/6/10,2910,5,许多天真的年轻人以为性只和爱情有关。许多不天真的年轻人认为性只和欲望有关。然而，过了三十岁后，性这种东西大概只剩下和孤独有关了。,1,1
152,惘然,2016/11/30,922,3,深情的男人必然不勇敢，责任是逃避的遮羞布，爱情是欲望另一个好听的名字。孔侑前面演得太纯情了，好得让人想逃，越发觉得这美好是不可能属于自己的。在列车那里，我以为全度妍会趁他睡着逃走，她没有，之后她就再也逃不走了。之后，就只能眼睁睁看着他逃走了。,1,0
153,匡匡,2016/11/20,387,4,以为是肉啃肉的禁忌情色片，谁知两人爱得干净又苦逼，一点肉欲气息都没有。本来看韩剧情爱戏基本从不触动。也觉得孔侑表情一贯呆滞木讷、老一幅演技不在线的样子，谁知竟被他吞鸡蛋那调皮又温柔的神情打动了。大概巨蟹座的缘故吧，撒娇高手，克制里又有小放肆。肉体是真的好看啊，一直好看到指头尖儿。,1,1
155,三三,2016/9/14,531,3,言情剧火，所以大家都拍言情就是正常的；耽美剧火了，有人拍耽美就是变态神经病卖腐圈钱。这三观也是没得救了。识汝不识丁相对某些逻辑感人的剧来说好歹到目前为止故事脉络清楚，各位新人演技也还不错，大约值个三星吧。那些给一星的明知道是耽美还上赶着给自己找膈应的，麻烦出门左拐好走不送。,1,0
158,人于点点,2016/9/25,27,4,制作还是挺良心的，主角配角都演技在线，故事本身是挺有可看性的，就是剪辑没有过渡的感觉，跳的太快了～,1,1
161,Vini_Kazma,2012/1/10,8,3,本片为哆啦A梦剧场版25周年纪念作品。,1,0
166,Carf,2018/11/17,15,3,最后男主在律师的威胁下放弃复仇，算是无奈的真实,1,0
167,帕拉,2018/10/20,11,4,梅拉尼·罗兰的导演功力真不错，艾丽·范宁表演有过火的痕迹，本·福斯特魅力值爆表。[B],1,1
168,Michael JZ,2018/10/22,8,4,改编自Nic Pizzolatto的第一部小说 潮湿阴暗的南方 长时间的跨度 无可奈何的结局 都和《真探第一季》颇为相似 You weren't abandoned. Never abandoned. Ben Foster依旧给力 Elle Fanning势不可挡,1,1
169,左胸上的吸盘,2019/8/27,2,2,故事简单到苍白，躲避追杀的男主偶然救了个小鸡，俩人亡命逃到旅游胜地加尔维斯顿，全片用压抑、颓废的调门，男主的标签是孤独，他听的歌都是描写孤独的，和小鸡上路也不干，喊了别的鸡又不能勃。女主的标签是命苦，被继父强奸生了妹妹（带着一起上路，最后一幕安排长大的女孩出现给女主拔高一下，我实在不知道这个套路故事的女主有何可拔高的），在大量剧情空档的地方，编导用观察人物的镜头来填补，那些色调阴郁的镜头想装逼但脱...故事简单到苍白，躲避追杀的男主偶然救了个小鸡，俩人亡命逃到旅游胜地加尔维斯顿，全片用压抑、颓废的调门，男主的标签是孤独，他听的歌都是描写孤独的，和小鸡上路也不干，喊了别的鸡又不能勃。女主的标签是命苦，被继父强奸生了妹妹（带着一起上路，最后一幕安排长大的女孩出现给女主拔高一下，我实在不知道这个套路故事的女主有何可拔高的），在大量剧情空档的地方，编导用观察人物的镜头来填补，那些色调阴郁的镜头想装逼但脱离了剧情支撑不知有什么可装的（有个远景的配色倒是挺漂亮），这故事没什么波澜又烂大街，人物也没写出新意，真不明白拿腔拿调的那股劲是从哪来的信心？全片唯一看点是艾丽·范宁半裸的胸，是垂露型的特别好看，希望她敬业点尽快全裸,1,-1
171,草原上的马,2019/10/7,0,2,资源很难找到，看了一版画质渣到爆炸的版本，漫画形式与漫威没什么区别,1,-1
176,薇安,2016/10/18,8,5,结局堪称经典，看哭了,1,1
177,恶猫的步调,2016/7/2,1,3,设定有点让人想起老早Scifi一个叫The Lost Room的迷你剧，那个设定更有意思一些。一路从阴谋论大剧变成感情纠葛戏，高开低走了。,1,0
178,fallingraining,2016/4/15,3,4,历史不是我们能够改变的，也不是我们能够完全想象的。,1,1
179,冬天的冰块,2016/3/15,1,3,2016.2.18 E01 3.14 E02 看完第一集80分钟，还抱有希望可能会越来越好看，其实第一集就没有展现很多。然而就隔了很久也不想看第二集，然后看完第二集确实很难看，不愿意继续下去，stephen king太高产了，空有概念没有细节的作品,1,0
185,桃桃林林,2014/8/11,1441,5,简单与波澜不惊，去感受时间流逝。只有重新回顾整个故事，才会发现其中的精彩与奇妙，一如时间本身的魔力。就好像无需特效与化妆，角色却在不到三个小时里长大、变老。这一切的奇妙，都像影片最初的想法，压缩时间，留住时间的痕迹，从而去感受生命的奇妙。当男孩再次启程，不是结局，是新的开始……,1,1
187,陆支羽,2014/8/6,716,5,5.0。1.精灵与鲸鱼，亦如少年与时代。2.生日礼物：圣经和猎枪。3.红色暗房内的勉励，灵魂状态的碰触。4.几年以后，那会是你，而这会是我。5.母亲最后的话，瞬间快进40年，想到[一一]，所有人都按部就班地走向死亡。6.多重高潮的时刻：就好像所有时间在我们面前展开了。7.怀念这个午后，3小时，12年。,1,1
188,愤怒的豆子,2014/2/14,263,5,林克莱特是电影节最具持久战能力的导演了吧。时间让小孩成长，让男神老去，看母亲的角色瘦了又胖，胖了又瘦，12年在3小时的电影中那么呈现出来的时候还真是有点残酷呢。,1,1
190,桃桃林林,2012/4/29,56,3,第一部就像是一个概念预告片，定风格，定服装造型世界观什么的。这部则填补剧情和一些有特点的角色，并影响了之后很多作品。,1,0
193,荒岛夏威夷,2018/7/12,6,4,"这一部才算真正意义上废土世界的奠基之作，（开创性加一星）很多车辆追逐戏的元素已经初见锋芒，不过当年的技术还不足以还原米勒的想象力。终于在30年后，在4里面完好的呈现了。
当年《北斗神拳》简直是各种抄本作，造型抄，人设抄，甚至连发型都要抄。不过还真抄出了一部经典。",1,1
195,mingjoyce,2017/2/26,43,4,像這樣的電影幾乎不可能在其他文化背景中出現了，因為在我們所處的世界，不再有人願意付代價、真誠與承諾也不再有價值。,1,1
196,美美哒Cindy,2017/2/26,21,4,悬疑，结局是悲的,1,1
199,把噗,2012/12/1,3,5,棒！同《一次别离》，相当精彩，一贯风格，将人物陷进道德困境中。复杂的调度，镜头处理，人物丰富的内心触动，却极其协调、流畅地通过手持镜头、快速的剪辑表现出来了。个人理解：前一天，男友与她提分手，落水自杀。一个痛苦的结局，好过没有结局的痛苦。伊朗电影再次征服我，爱上这个国度！,1,1
201,裴🐰,2019/7/19,380,1,实在是受不了男主油腻的脸，男主脸、女主演技实力劝退 全靠配音演员撑起了女主 无法想象扎扎如果原音这个角色会有多么灾难 而一堆粉睁眼瞎夸演技进步 在我眼里大宝贝的演技都比扎好 至少台词吊打 而扎还是科班出身…,1,-1
204,已注销,2019/7/19,73,3,和时间都知道有点雷同，杨烁我不可，和娜扎毫无cp感,0,0
216,小爪子丢丢,2016/8/11,82,4,一眨眼就是快十年的事了，那时候每天晚饭时间看动画城，记忆里就是这个主题曲，燃烧了我的初三青春。看到知乎有人说起来这是小时候第一次知道男主原来可以不和女主在一起的，仔细想想，好像确实是这样。,1,1
217,守护蓝天,2016/8/27,40,5,大家评分的时候别装，小时候感动哭了就不要因为现在怎么样怎么样贬低他→_→,1,1
