,user,comment_time,votes,rating,text,sentiment,feedback
46,女王万受无疆,2019/6/28,41053,5,比我想象的好太多，一群新人，在我看来演技不至于出戏，（一博第四集开始好很多）场景挺好，配乐很绝。节奏还可以，稍微习惯下配音也很贴脸，特效我觉得第一集还行，后面水行渊有点假。而且糖很多！哪里是兄弟情！谁看不出来两个人在谈恋爱！最大的缺点在于剪辑有点乱，还有感觉恐怖诡谲的气氛没出来。就是一个很贵的，洒糖很大方的同人剧！我爱了，真香,1,1
47,是你的骆一锅💓,2019/6/28,29454,4,作为魔道淑芬，还是看了这部剧，配音老师自然没话说。剧情确实改了不少，但大部分还是按着原著来的，可接受范围内吧。肖战饰演的魏无羡可以说很灵动了，之前还担心他的演技不够，但看了之后觉得还是不错的，和配音还是很契合的，而且表现出来的人物性格也很和原著的羡羡。王一博那被吐槽过无数次的造型背了很大的锅，但随着剧情推进，他的表现力也更强了，其他在和魏无羡的互动中感觉也还可以，没有网上说的那么差。最近剧情推进越...作为魔道淑芬，还是看了这部剧，配音老师自然没话说。剧情确实改了不少，但大部分还是按着原著来的，可接受范围内吧。肖战饰演的魏无羡可以说很灵动了，之前还担心他的演技不够，但看了之后觉得还是不错的，和配音还是很契合的，而且表现出来的人物性格也很和原著的羡羡。王一博那被吐槽过无数次的造型背了很大的锅，但随着剧情推进，他的表现力也更强了，其他在和魏无羡的互动中感觉也还可以，没有网上说的那么差。最近剧情推进越来越顺了，相信很多人也真香了，肖战的表现力真的让我刮目相看，王一博造型也越看越顺眼，不会影响到对其他方面的判断了，这两天我哭个半死，姐弟三人回忆中的回忆杀真的鲨死我555,1,1
51,嘟嘟熊之父,2019/7/13,19886,5,卧槽居然看哭了，这才是货真价实的国漫新希望，终于不再是假大空的中国风堆砌，而开始借神话寓言塑造真正的“小人物”。背负原罪的出身，命中注定的死期，对存在的笃定和身份的动摇，竟指向《刺客聂隐娘》的内核：一个人，没有同类。完整的世界观构建，父子母子师徒兄弟友敌，每一段关系都处理的有血有肉全无敷衍。美术剪辑配乐动作设计，处处都是亮点，就连喜剧部分也绝非装疯卖傻而存在无数细节作为支撑。海边夕阳踢毽和社稷图虚...卧槽居然看哭了，这才是货真价实的国漫新希望，终于不再是假大空的中国风堆砌，而开始借神话寓言塑造真正的“小人物”。背负原罪的出身，命中注定的死期，对存在的笃定和身份的动摇，竟指向《刺客聂隐娘》的内核：一个人，没有同类。完整的世界观构建，父子母子师徒兄弟友敌，每一段关系都处理的有血有肉全无敷衍。美术剪辑配乐动作设计，处处都是亮点，就连喜剧部分也绝非装疯卖傻而存在无数细节作为支撑。海边夕阳踢毽和社稷图虚幻仙境两部分堪称绝美段落，飞驰想象力和一流制作实力的结合，值得一刷再刷。严格说是四星电影，但愿意加满五星狂推鼓励！,1,1
52,王大根,2019/7/20,9058,3,"2019年，哪吒都成家庭教育成功典范了，就算你是魔童转世奔着毁天灭地来的，只要家里有钱有权有天命，妈妈爱你爸爸把命都给你，再顶级名师1V1封闭式教育，不愁养不出一个精英来。金吒木吒抱头痛哭：“这个家里没有我们的位置……”
敖丙是真可怜啊，背负了整个家族的不甘心，一人给片鳞好比读大学前村里每家每户给抓把小米，可走到城里，人家一看你头上的角就知道底细了。纵使哪天真能修炼成仙，身后还林林总总一大串亲戚呢...2019年，哪吒都成家庭教育成功典范了，就算你是魔童转世奔着毁天灭地来的，只要家里有钱有权有天命，妈妈爱你爸爸把命都给你，再顶级名师1V1封闭式教育，不愁养不出一个精英来。金吒木吒抱头痛哭：“这个家里没有我们的位置……”
敖丙是真可怜啊，背负了整个家族的不甘心，一人给片鳞好比读大学前村里每家每户给抓把小米，可走到城里，人家一看你头上的角就知道底细了。纵使哪天真能修炼成仙，身后还林林总总一大串亲戚呢，可敖丙能成仙吗？不被社会生吞活剥扒皮抽筋就不错了吧",1,0
53,谢谢你们的鱼,2019/7/17,10875,5,牛逼！牛逼！牛逼！4年前翻着白眼看完了《大圣归来》，4年后热泪盈眶地看完这部《哪吒之魔童降世》。没想到2019不仅仅是中国科幻大片元年，本片更是和《白蛇：缘起》一块儿创造了国产动漫作品前所未有的高潮。扎实的故事，生动的角色，饱满的情绪，炸裂的场面，这一切都构成了110分钟云霄飞车式的、畅快淋漓的观影体验，表面上是哪吒的传奇，骨子里面是《绝代双骄》+《悟空传》，毁天灭地的逆天气势更是燃破天际，好一曲...牛逼！牛逼！牛逼！4年前翻着白眼看完了《大圣归来》，4年后热泪盈眶地看完这部《哪吒之魔童降世》。没想到2019不仅仅是中国科幻大片元年，本片更是和《白蛇：缘起》一块儿创造了国产动漫作品前所未有的高潮。扎实的故事，生动的角色，饱满的情绪，炸裂的场面，这一切都构成了110分钟云霄飞车式的、畅快淋漓的观影体验，表面上是哪吒的传奇，骨子里面是《绝代双骄》+《悟空传》，毁天灭地的逆天气势更是燃破天际，好一曲震撼人心的“冰与火之歌”！都给老子去看！,1,1
57,雨果,2016/11/20,1035,5,"这是一部美国典型的反智题材电影。聪明的人未必一定能成功。阿甘的智商极低，却情商极高。他一直怀着单纯的心，做了在别人眼里了不起的事，也尽力照顾身边的人。
成功充满必然与偶然。
人生就像是一盒巧克力。
最经典的两句台词
",1,1
58,陈毓秀,2013/9/21,825,5,这部电影的主题是：“保守主义始终代表美国先进生产力的发展要求，始终代表美国先进文化的前进方向，始终代表美国最广大人民的根本利益。”,1,1
59,不良生,2015/3/26,724,5,又是七年后，重温一遍。上帝是仁慈的，妈妈走了，珍妮走了，朋友走了，可是给阿甘留下了一个孩子。要是没有孩子他该怎么活下去。也是电影的仁慈。,1,1
61,同志亦凡人中文站,2016/12/23,10498,4,根据真人真事改编，讲述印度一块女子摔跤金牌的诞生。剧情热血逗乐，竞技惊心动魄，挑不出什么毛病的宝莱坞电影，父女情尽在不言中。阿米尔·汗太敬业了，为了一闪而过的几秒就把自己的身材从肥胖练成魔鬼，好演员都是用生命在演戏啊～,1,1
62,dofafa总是会饿,2017/5/5,3902,5,一群骂父亲剥夺女儿未来的白左真令人作呕。我们现在有资格成为女运动员女演员女记者女程序员，是因为有牺牲童年牺牲安逸的开路人。女儿对未来应当有自主选择权，更需要能力支撑选择。脱离社会环境探讨权利都是耍流氓。14岁嫁给老头的闺蜜不用忍受被迫练习摔跤的嘲讽，so？,1,1
64,麟,2017/1/4,1994,3,在印度看得169分钟，一部处处衬着男权和父权的女性电影，女儿没有任何选择权，被父亲残暴地教育成为世界冠军，这个冠军的“正确“结果就意味着父亲教育的正确了。意外这部电影宣传期在国内口碑这么好，大家去看完整版吧认知会反转的,1,0
66,鯨魚花園,2020/1/9,544,4,"2020低配snatch，一样的配方，一样麦麸的盖里奇。盖盖：“还是腐女的钱好挣嘻嘻嘻”，说着让休格兰把手放在了查湖南大腿上，并安排在湖南说出“我要上床睡觉了，你滚吧886”的台词之后，休格兰说：“那我可以跟你一起上床吗？”以及带头泥塑：”Raymond, you make a good wife.”并让休格兰叫查湖南妈咪etc. 盖里奇还是人吗？为了卖新片在里面贴mmtg海报，并说“动作片还是要...2020低配snatch，一样的配方，一样麦麸的盖里奇。盖盖：“还是腐女的钱好挣嘻嘻嘻”，说着让休格兰把手放在了查湖南大腿上，并安排在湖南说出“我要上床睡觉了，你滚吧886”的台词之后，休格兰说：“那我可以跟你一起上床吗？”以及带头泥塑：”Raymond, you make a good wife.”并让休格兰叫查湖南妈咪etc. 盖里奇还是人吗？为了卖新片在里面贴mmtg海报，并说“动作片还是要拍成连续剧才挣钱”。盖里奇你是人吗？！当我们的钱这么好挣的吗！你麦麸我们就全盘照收吗！———（dbq本腐女的钱真的很好挣，只要麦麸我就可以磕呜呜呜，所以哪里才能吃到Raymond'Fletcher的粮😭😭😭",0,1
67,桃桃林林,2020/2/14,214,4,片子还是挺切题的，绅士们。属于那种好看的电影，盖·里奇回到了早期风格：多线索、多人物，出色的节奏控制，各种黑色幽默与讽刺，过瘾的暴力场面，以及对情节与观众的玩弄。再加上几个男演员都特别帅，可看度还是很高的。查理·汉纳姆演了一个特别讨好的角色，真讨人喜欢。科林·法瑞尔与他的团队更是强到不行。还各种恶搞小青年与互联网一代，配乐也很赞。,1,1
68,小土,2020/1/3,203,5,2020第一次观影献给盖里奇。盖里奇真香……【我发现，我看电影上头的一个标志就是：出电影院开始搜原声然后一路听回家……,1,1
69,Karo,2020/1/6,125,5,4.5'5，这种商业片多一点好吗？虽然让Hugh Grant在大叔局海报前对电影公司老板说“欲知后事如何，你需要个续集”简直不能更过分。盖里奇回归老本行gangster film，得心应手。相较于给迪家拍的阿拉丁，这部可谓放飞自我。Grant老师越老越能，就算三男主都强他还是亮。整个剧情就是黄雀在后，在后，在后，在后......不过我好奇电影最终拍出来算不算最后一个twist？,1,1
70,劈叉叉叉叉叉,2016/2/26,6088,5,无论是人设，世界观，动画制作，还是剧本，都挑不出毛病来啊啊啊！！细节多到爆！！好幸福！！！！>w< 最难能可贵的是配角们的人物性格和形象设置都非常饱满（教父梗好惊喜>< ） 虽然是动画，但是剧本还是隐射很多人类社会的种族问题，以及政治两党上位之争的问题。另外我狐Nick的眼神是在太苏了TwT...,1,1
71,桃桃林林,2016/3/4,3617,4,不仅是个小孩子玩玩闹闹的喜剧动画，成年人同样可以很享受这个故事。一个动物的乌托邦，理想与现实。有一个有趣的案件，又有很多关于人类世界的暗喻与指涉，还有教父或毒师这样的小梗。以及狐狸和兔子都那么可爱，那么搭。,1,1
72,小斑,2016/3/2,3347,4,故事流程对小盆友来说不艰深对大盆友也不无聊。树懒那段，跟法国公务员打过交道的都会心一笑。兔子的微表情做得很棒。然而对所有的群体标签统一嘲讽的结果就是下意识也贴了标签（比如狐狸必然聪明却捞偏门，兔子一定是繁殖癌，猛兽全是雄性，etc）。最后，可惜世界不是一部迪斯尼出品的动画片。,1,1
75,少年 遊,2010/8/5,3726,5,这几个月来看过的最好的片——”做自己“，也许才是人生终极的成功。别总嘲笑印度人”阿三“，他们已经追上来了，无论经济、科技还是我们一贯认为只会跳舞唱歌的宝莱坞电影。盛赞！5+1星！,1,1
77,Q。,2010/8/9,2285,5,一部讽刺社会现象的电影都可以拍的这么轻松，喜剧里还可以有这么多闪光的慧言慧语。情节确实太过随意，下一秒的夸张总是来的让人啼笑皆非，无可奈何中却仍旧乐呵呵的接着看下去。 末了的那段风光让我无比钟情！★★★★★,1,1
78,烨色正浓,2010/8/4,1233,5,"该片的中文翻译太烂了，差点就错过欣赏一部好作品了。
兰彻一直在给大家灌输的一种理念就是：简单生活，遵从心声，为自己而活。 
的确，他让朋友们重新认识了自己和所要坚定的方向。
很喜欢片尾的那片湖泊，不知道是在哪里呢？",1,1
79,Lan~die,2010/8/8,1162,4,如果有一天你变成了奇怪的家伙，生活于恐惧和虚假之中，就念重生的咒语“All is well”，狠狠地给这个世界一脚！对鼓励别样人生价值和给人梦想的片子我是举双手赞成，何况从头到尾都拍得这么欢乐。台词：“朋友是男人最大的胸部”、“你这么害怕明天，又怎么能过好今天”。,1,1
81,翻滚吧！蛋堡,2016/9/7,16705,5,新海诚用这样的故事去温暖城市中每一个仍然愿意相信爱的人。在这么大的世界里，能够遇见你，竟然需要如此用力。穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,1,1
82,kino,2016/9/1,3512,3,高配版大鱼海棠，奶奶是夏日大作战穿越来的。新海诚老生常谈，节奏没把握好，人物单薄，插入曲太满，突发式琼瑶情节多，怪不得赞新海诚的论文入不了学院派教授的眼。第一次看到电影带OP，简直呆。日本最近几年天灾频频，哭的观众大概被这个触动了吧。总之二次元言情向，影迷慎看。岩井俊二打了个酱油~,1,0
83,有心打扰,2016/9/7,3445,5,只有新海诚才能让我一次又一次感受到爱情的纯粹与美好。被爱情伤得遍体鳞伤的我，不再相信爱情的我，突然会想，不如再勇敢地去谈一场恋爱？嗯，好像可以！,1,1
85,Esse,2010/12/3,10521,5,当你喜欢我的时候，我不喜欢你；当你爱上我的时候，我喜欢上你；当你离开我的时候，我却爱上你；是你走得太快，还是我跟不上你的脚步……,1,1
86,不流ᝰ雾岛夜随,2010/12/18,4260,4,上学的时候早恋，父母反对；上班了不恋爱，父母反对。你真是羡慕人家老外啊。,1,1
87,黄青蕉,2012/11/18,1706,4,斯人若彩虹，遇上方知有,0,1
90,木卫二,2010/12/4,12052,4,你给我翻译翻译，神马叫做TMD的惊喜！幽默、炫酷、西部片，自恋、隐喻、男性化，黑色、血腥、怪点子，卖腐、露点、性暗示，酒神、荒诞、神经错乱，草莽气息、英雄情结、革命浪漫主义外加一分的孤独。,1,1
91,陈野犁,2010/12/7,7925,5,因为对《让子弹飞》吹捧得无耻到惊世骇俗的地步，本短评已被和谐。,0,1
92,摩西不夜奔,2010/12/4,3291,4,姜文的个人英雄式表达，但拍得流畅热闹，复杂的剧情细节之下，是他坚持的自我，但与鬼子来了相比，他更懂得如何掩藏自己挑战的野心，这些野心都掩藏在了一流的喜剧功夫上。,1,1
93,原来是西门大嫂,2010/12/7,1676,4,承认爆米花式的好看不行么？别分析政治隐喻了不如去分析下百年孤独更给力。这次是冯小刚式的姜文，不是国产大师不是救世主，他是凡客。。。,1,1
95,西楼尘,2017/11/20,24404,5,供奉的遗像是牵引家人回家的通道，驻留的记忆是保持亡灵存续的神力，热闹的音乐是唤醒思念启封的药引。我为你写了首歌，穿越浩瀚的岁月烟尘，捱过冰冷的孤独冬季，横跨漫长的天人之路，在你老去的时候，唱给你听。这瑰丽的灯火万家，摇曳的烛光千盏，不如你梳着麻花辫坐在床头时，眼里闪烁的星光璀璨。,1,1
96,Juillet.🌳,2017/11/16,11884,5,我们是人类的一分子，而人类是充满激情的。医学、法律、商业、科技，这些都是崇高的追求，足以支撑人的一生。但音乐、诗歌、梦想、情感，这些才是我们活着的意义。,1,1
97,千早立夏警部殿,2017/11/16,7244,5,第一次觉得死后世界通往人间的万寿菊之桥和七夕鹊桥是一样的原理，爱不分种类是共通的，相见是因为想念，存在是因为记忆的力量。而只有墨西哥人能有欢乐的能力把悼念先人的节日过得如此五彩斑斓。欢迎有女儿的爸爸来影院哭一哭。亡灵节海关大厅井井有条，效率极佳!拒绝寂静的死后世界，我们要喧嚣!,1,1
99,羚羊的灵魂,2017/11/13,1462,4,麻烦说比头脑特工队好的适可而止，coco这烂大街的设定真的被头脑完爆。只是一些观众更吃coco这种温情又煽情的故事罢了,1,1
100,同志亦凡人中文站,2018/12/7,5525,4,肤色、阶层、性格和性取向天差地远的两个男人，因为音乐而结缘，因为公路旅行而成为一生朋友。有时候才华并不够，还需要勇敢，推倒心中那面墙才能开门见山。电影就像一颗绿色小石子，投入黑白分明的美国社会，激起轻小而美丽的涟漪。虽然有刻意营造的温暖感，但我就是愿意买单~！,1,1
101,StarlightRiver,2018/9/12,4245,5,"Mahershala說片子里某個根本不會被人注意到的佈景里的某塊石頭或許就是V撿的。他說V在拍攝的時候，一直留心撿很漂亮的石頭，撿到了就拿給導演說：看，把這塊石頭放在背景里會有多好看
說到電影里的部分，他可能增肥了有二三十斤，從來沒見過他有那麼大的肚腩（現在似乎已經減回來了）。今天在看V表演時，大部分的時間，我忘了他是Viggo，他就是那樣一個沒文化又油滑、滿嘴跑火車的司機。
僅僅偶爾偶爾有幾個他...Mahershala說片子里某個根本不會被人注意到的佈景里的某塊石頭或許就是V撿的。他說V在拍攝的時候，一直留心撿很漂亮的石頭，撿到了就拿給導演說：看，把這塊石頭放在背景里會有多好看
說到電影里的部分，他可能增肥了有二三十斤，從來沒見過他有那麼大的肚腩（現在似乎已經減回來了）。今天在看V表演時，大部分的時間，我忘了他是Viggo，他就是那樣一個沒文化又油滑、滿嘴跑火車的司機。
僅僅偶爾偶爾有幾個他不說話、只抽煙的鏡頭，鼻孔一噴白霧，就那麼一瞥，卻還像是十幾年前、《東方的承諾》里那個冷酷無情的殺手。
今天導演說He’s a great person before he’s a great actor. 這麼多年了，還是一直一直都沒變啊。",1,1
103,非虚构,2019/1/12,1932,5,#剧作#第1点：让妻子接电话，电话内容全部隐掉，呈现妻子的表演，并描写夫妻间的感情。第2点：24分钟才出现核心道具“绿皮书”。第3点：公路片类型。第4点：到35分钟，音乐起，镜头从欢笑的人们摇到孤寂的一人。第5点：多来一条书信的线，也是一条情感变化线。第6点：43分钟，小人物开始反击，第7点：46分钟，黑人扳回一局，第8点：48分钟。意大利人解决问题独特的方式。第9点：50分钟，开始敞开心扉。第1...#剧作#第1点：让妻子接电话，电话内容全部隐掉，呈现妻子的表演，并描写夫妻间的感情。第2点：24分钟才出现核心道具“绿皮书”。第3点：公路片类型。第4点：到35分钟，音乐起，镜头从欢笑的人们摇到孤寂的一人。第5点：多来一条书信的线，也是一条情感变化线。第6点：43分钟，小人物开始反击，第7点：46分钟，黑人扳回一局，第8点：48分钟。意大利人解决问题独特的方式。第9点：50分钟，开始敞开心扉。第10点：黑人与白人不平等。第11点：一起写信，推进故事，情感段落可视化，通过写信。第12点：重音起，黑人被拒。第13点：75分钟二人出现矛盾，第14点：93分钟，雨中吐露真心。第15点：100分钟。黑人与白人差异上升为兄弟情来化解。第16点:黑人为白人开车，大反转。,1,1
105,罗弘霉素,2010/7/26,1453,5,一遍烂，两遍笑，三遍哭。盘丝大仙给了三颗痣，斧头帮主翻过照妖镜，看着镜中的猴子，此处的配乐足够震撼,1,1
107,kk,2016/7/26,451,5,那年的蓝洁瑛怎么那么好看 好看到我眼里完全没有莫女神。                                             18.11.03更新 今天瑛姑过世了，这一辈子太苦，但愿天堂里有属于你的月光宝盒。,1,1
109,不错我就是神,2018/1/11,71,4,哈哈，星爷的经典该怎么评呢？小时候看不太懂，长大了才看懂还看过好多遍，星爷的喜剧电影是唯一可以让我看3遍以上的电影。,1,1
110,大旗虎皮,2019/6/22,18427,4,我先来第一瓢凉水吧，富人的形象太简单了，富人很傻吗？😄,0,1
111,非瞩目,2019/6/10,7098,3,与《燃烧》相同，反应了贫富阶级的差异和对立，揭露了底层社会的绝望和无奈；但是与《燃烧》不同的是，片子里的富人家庭并没有做错任何事情，即使是对于父亲基泽身体异味的吐槽也是在情理之中，而且在危急时刻优先保护妻儿离开现场本也无可厚非。片中有几处剧情经不起推敲，略显牵强，比如为什么为了躲债会甘愿住在暗无天日的地下室里数年，前管家有正当职业，收入应该也不低，两个人一起努力工作还债总好过这种人不人鬼不鬼的生活...与《燃烧》相同，反应了贫富阶级的差异和对立，揭露了底层社会的绝望和无奈；但是与《燃烧》不同的是，片子里的富人家庭并没有做错任何事情，即使是对于父亲基泽身体异味的吐槽也是在情理之中，而且在危急时刻优先保护妻儿离开现场本也无可厚非。片中有几处剧情经不起推敲，略显牵强，比如为什么为了躲债会甘愿住在暗无天日的地下室里数年，前管家有正当职业，收入应该也不低，两个人一起努力工作还债总好过这种人不人鬼不鬼的生活；精明如主角一家的人为什么会冒着被发现揭穿的风险给前管家开门，正常的逻辑不是叫她改天再来吗；另外由于暴雨，主角一家的房子被淹了，浑身臭烘烘连件干净衣服都没有为什么还非得出席小儿子的生日聚会，父亲司机和母亲管家无法拒绝，老师们总可以以有事为由谢绝吧。感觉导演为了使最后的戏剧冲突达到极致而强制事件发生。,1,0
115,影志,2010/8/26,3290,5,“既然做梦，就做大点” 这句太深得人心了。——2010年最天才的电影。“谁又能说，现实不是梦境。” Do you remember how you got here?,1,1
117,Villalon,2010/7/16,1349,5,我还能说什么呢 出影院第一件事就是拿iphone 上豆瓣 至少5颗星啊 第156个评分的 哈哈哈哈 一直要用心用脑看的电影 内容很严谨 逻辑性强 非常好看 等高人仔细分析。。 又去影院 看了一遍 很爽 很抖擞,1,1
